Model,Release date,Max resolution,Low resolution,Effective pixels,Zoom wide (W),Zoom tele (T),Normal focus range,Macro focus range,Storage included,Weight (inc. batteries),Dimensions,Price
Canon PowerShot A60,2003,1600.0,,,,,46.0,,16.0,315.0,101.0,
Canon PowerShot A610,,2592.0,2592.0,5.0,,,0.0,,,,,
Canon PowerShot A620,2005,3072.0,,7.0,35.0,,0.0,,32.0,285.0,105.0,139.0
Canon PowerShot A630,2006,,,,,,0.0,,16.0,315.0,,
Canon PowerShot A640,2006,,2816.0,,35.0,,,1.0,32.0,,109.0,139.0
Canon PowerShot A650 IS,2007,,,12.0,,,0.0,1.0,,300.0,97.0,
Canon PowerShot A70,,,1600.0,,35.0,,46.0,,16.0,,101.0,
Canon PowerShot A700,2006,,,,,210.0,55.0,1.0,16.0,,94.0,
Canon PowerShot A710 IS,2006,3072.0,2592.0,7.0,35.0,210.0,55.0,,16.0,,,139.0
Canon PowerShot A720 IS,,3264.0,,8.0,,,55.0,1.0,,,97.0,399.0
Canon PowerShot A75,,2048.0,1600.0,3.0,,,46.0,5.0,,315.0,101.0,
Canon PowerShot A80,2003,,,,,114.0,46.0,5.0,32.0,350.0,,139.0
Canon PowerShot A85,2004,,1600.0,,,105.0,,,,300.0,,139.0
Canon PowerShot A95,2004,,2048.0,5.0,,,45.0,5.0,32.0,,101.0,
Canon EOS 10D,,3072.0,2048.0,,,0.0,,,0.0,,,
Canon EOS-1D,2001,2464.0,1232.0,4.0,0.0,,0.0,0.0,0.0,,156.0,4499.0
Canon EOS-1D Mark II,,,,,0.0,0.0,0.0,0.0,0.0,1565.0,156.0,4499.0
Canon EOS-1D Mark III,2007,,3456.0,10.0,0.0,0.0,0.0,,,1335.0,,
Canon EOS-1D Mark II N,2005,,,8.0,0.0,0.0,0.0,0.0,,,156.0,
Canon EOS-1Ds,2002,4064.0,2032.0,,,0.0,0.0,0.0,0.0,1585.0,156.0,
Canon EOS-1Ds Mark II,,,3600.0,16.0,,0.0,,,,,,7999.0
Canon EOS-1Ds Mark III,,5616.0,,21.0,0.0,0.0,0.0,0.0,0.0,1385.0,,7999.0
Canon EOS 20D,2004,3504.0,2544.0,,0.0,0.0,0.0,0.0,,770.0,,
Canon EOS 20Da,2005,,,8.0,0.0,0.0,,,0.0,770.0,144.0,
Canon EOS 300D / Digital Rebel,,,2048.0,,0.0,,,0.0,0.0,645.0,,
Canon EOS 30D,2006,,2544.0,,0.0,,0.0,,0.0,,,1299.0
Canon EOS 350D / Digital Rebel XT,,,,,0.0,0.0,,0.0,,540.0,127.0,
Canon EOS 400D / Digital Rebel XTi,2006,,,10.0,0.0,,0.0,0.0,0.0,,127.0,1299.0
Canon EOS 40D,2007,,,,,0.0,,,,822.0,,
Canon EOS 5D,2005,,3168.0,12.0,,0.0,,0.0,0.0,,,
Canon EOS D30,2000,,1440.0,,0.0,0.0,0.0,0.0,16.0,,150.0,549.0
Canon EOS D60,2002,3072.0,2048.0,6.0,,0.0,0.0,,,855.0,,549.0
Canon PowerShot G1,,,1024.0,,34.0,102.0,,,16.0,,,
Canon PowerShot G2,,,,,34.0,,70.0,6.0,,510.0,121.0,
Canon PowerShot G3,,,,3.0,35.0,140.0,50.0,,,,121.0,
Canon PowerShot G5,,2592.0,,5.0,35.0,140.0,50.0,,32.0,,121.0,
Canon PowerShot G6,2004,3072.0,,7.0,35.0,140.0,,,,467.0,105.0,499.0
Canon PowerShot G7,2006,3648.0,,,35.0,210.0,50.0,,32.0,380.0,,
Canon PowerShot G9,,,3264.0,12.0,35.0,,50.0,1.0,32.0,370.0,106.0,499.0
Canon PowerShot Pro1,2004,,,8.0,28.0,,,,64.0,,118.0,
Canon PowerShot Pro70,,1536.0,,1.0,,,32.0,12.0,8.0,800.0,148.0,
Canon PowerShot Pro90 IS,2001,,1024.0,,,,,10.0,16.0,,127.0,
Canon PowerShot S10,1999,,1280.0,,35.0,70.0,46.0,12.0,,,,399.0
Canon PowerShot S100,,,640.0,,35.0,,57.0,,8.0,,,
Canon PowerShot S110,,1600.0,1024.0,,,70.0,57.0,,,,87.0,
Canon PowerShot S1 IS,2004,2048.0,,3.0,38.0,380.0,10.0,10.0,,,,399.0
Canon PowerShot S20,,2048.0,,,,,66.0,12.0,,,106.0,
Canon PowerShot S200,,1600.0,1024.0,1.0,35.0,70.0,,,8.0,250.0,87.0,199.0
Canon PowerShot S230,2002,2048.0,,3.0,35.0,,47.0,,16.0,,,
Canon PowerShot S2 IS,2005,,,,36.0,432.0,,,,505.0,113.0,399.0
Canon PowerShot S30,,2048.0,,3.0,35.0,105.0,,10.0,16.0,323.0,112.0,399.0
Canon PowerShot S300,2001,1600.0,1024.0,1.0,,,76.0,16.0,,270.0,95.0,
Canon PowerShot S330,,,,1.0,,,76.0,16.0,8.0,274.0,95.0,
Canon PowerShot S3 IS,2006,2816.0,,,36.0,,,,16.0,510.0,,399.0
Canon PowerShot S40,2001,,1600.0,,35.0,105.0,,10.0,16.0,,112.0,139.0
Canon PowerShot S400,,2272.0,,,36.0,,,5.0,,,,
Canon PowerShot S410,,2272.0,1600.0,,36.0,,,5.0,,,87.0,139.0
Canon PowerShot S45,2002,,,,35.0,,50.0,,32.0,323.0,112.0,
Canon PowerShot S50,2003,,,5.0,,105.0,50.0,,,323.0,112.0,
Canon PowerShot S500,2004,2592.0,2048.0,5.0,36.0,,0.0,5.0,,215.0,87.0,
Canon PowerShot S5 IS,2007,3264.0,2272.0,8.0,,432.0,,10.0,32.0,550.0,117.0,399.0
Canon PowerShot S60,2004,2592.0,1600.0,5.0,,100.0,50.0,,32.0,,,399.0
Canon PowerShot S70,,3072.0,2592.0,7.0,28.0,100.0,,4.0,,,114.0,399.0
Canon PowerShot S80,,3264.0,,8.0,28.0,100.0,,4.0,32.0,290.0,104.0,
Canon PowerShot SD10,,,1600.0,,38.0,,0.0,3.0,32.0,,,
Canon PowerShot SD100,,,1600.0,3.0,35.0,70.0,47.0,,,185.0,,
Canon PowerShot SD1000,,,2592.0,,,,0.0,,,,,199.0
Canon PowerShot SD110,2004,,,,,70.0,0.0,,,195.0,85.0,199.0
Canon PowerShot SD20,,2592.0,,,39.0,39.0,0.0,3.0,32.0,,90.0,199.0
Canon PowerShot SD200,,,1600.0,,,105.0,0.0,3.0,,135.0,86.0,199.0
Canon PowerShot SD30,2005,,,5.0,38.0,90.0,0.0,,,120.0,,199.0
Canon PowerShot SD300,2004,2272.0,,,35.0,105.0,0.0,3.0,16.0,,,199.0
Canon PowerShot SD40,2006,3072.0,,7.0,,,0.0,10.0,16.0,120.0,96.0,199.0
Canon PowerShot SD400,2005,2592.0,,5.0,,105.0,0.0,3.0,,,86.0,
Canon PowerShot SD430 Wireless,2005,,,5.0,35.0,,0.0,3.0,16.0,,,
Canon PowerShot SD450,,,,5.0,,,0.0,3.0,16.0,,86.0,199.0
Canon PowerShot SD500,2005,,,7.0,37.0,,0.0,5.0,32.0,200.0,90.0,199.0
Canon PowerShot SD550,2005,3072.0,,7.0,37.0,,,5.0,32.0,,90.0,199.0
Canon PowerShot SD600,,,,6.0,,105.0,30.0,3.0,16.0,170.0,86.0,
Canon PowerShot SD630,2006,2816.0,,6.0,,105.0,30.0,3.0,,,,
Canon PowerShot SD700 IS,2006,2816.0,,6.0,35.0,,45.0,2.0,,,90.0,384.0
Canon PowerShot SD750,2007,,,7.0,,,,5.0,32.0,170.0,92.0,384.0
Canon PowerShot SD800 IS,2006,3072.0,2592.0,7.0,28.0,105.0,,,,,90.0,384.0
Canon PowerShot SD850 IS,,3264.0,2272.0,,,140.0,,2.0,32.0,,,
Canon PowerShot SD870 IS,2007,,,,28.0,,,,32.0,165.0,,
Canon PowerShot SD900,,3648.0,2816.0,10.0,37.0,111.0,0.0,,,205.0,,199.0
Canon PowerShot SD950 IS,2007,,3264.0,12.0,,133.0,,,32.0,,96.0,384.0
Canon PowerShot SX100 IS,2007,,,,36.0,,50.0,1.0,32.0,,,299.0
Canon PowerShot TX1,2007,3072.0,2592.0,,39.0,390.0,50.0,10.0,,260.0,,139.0
Casio Exilim EX-P505,2005,,,4.0,38.0,190.0,,1.0,7.0,275.0,99.0,249.0
Casio Exilim EX-P600,2004,,2048.0,,33.0,,,,,275.0,98.0,
Casio Exilim EX-P700,,,2304.0,,33.0,132.0,,10.0,,,98.0,249.0
Casio Exilim EX-S100,2004,,,3.0,,,,17.0,9.0,123.0,,
Casio Exilim EX-S20,,,1280.0,,35.0,35.0,80.0,,,,83.0,249.0
Casio Exilim EX-S3,2003,2048.0,,,35.0,,,,,110.0,90.0,249.0
Casio Exilim EX-S500,2005,,,4.0,38.0,,40.0,17.0,8.0,125.0,90.0,
Casio Exilim EX-S600,2005,,2304.0,,38.0,,40.0,15.0,8.0,,90.0,
Casio Exilim EX-S600d,2006,2816.0,2304.0,6.0,,,,,8.0,,90.0,249.0
Casio Exilim EX-S880,2007,,,8.0,38.0,,50.0,,,,94.5,
Casio Exilim EX-V7,,,,7.0,38.0,266.0,30.0,,11.0,190.0,96.0,
Casio Exilim EX-V8,,,2816.0,8.0,38.0,266.0,,10.0,11.0,,,299.0
Casio Exilim EX-Z10,2005,2560.0,,,35.0,114.0,40.0,6.0,8.0,154.0,90.0,329.0
Casio Exilim EX-Z1000,2006,3648.0,,,38.0,114.0,40.0,,8.0,185.0,92.0,329.0
Casio Exilim EX-Z1050,2007,3648.0,,10.0,38.0,114.0,40.0,,15.0,,91.0,
Casio Exilim EX-Z1080,,3648.0,2560.0,10.0,,114.0,40.0,10.0,,,91.0,
Casio Exilim EX-Z110,2005,2816.0,,,35.0,114.0,,6.0,,151.0,,329.0
Casio Exilim EX-Z120,,,2560.0,7.0,,114.0,50.0,,,154.0,,329.0
Casio Exilim EX-Z1200 SR,,4000.0,,,,111.0,,6.0,11.0,162.0,,329.0
Casio Exilim EX-Z3,,2048.0,,3.0,35.0,,,6.0,16.0,,87.0,329.0
Casio Exilim EX-Z30,2004,,1600.0,3.0,35.0,105.0,40.0,,,,,329.0
Casio Exilim EX-Z4,2003,,,,35.0,105.0,40.0,,16.0,,,
Casio Exilim EX-Z40,,,,4.0,,105.0,40.0,6.0,,,87.0,329.0
Casio Exilim EX-Z5,,,,,38.0,114.0,40.0,10.0,,160.0,95.0,
Casio Exilim EX-Z50,2004,,2048.0,5.0,,105.0,50.0,6.0,9.0,,,
Casio Exilim EX-Z500,,,,5.0,38.0,,40.0,17.0,8.0,,,329.0
Casio Exilim EX-Z55,,,,5.0,35.0,,,6.0,9.0,180.0,87.0,329.0
Casio Exilim EX-Z57,2005,2560.0,2048.0,4.0,,105.0,,6.0,9.0,,89.0,199.0
Casio Exilim EX-Z60,,2816.0,,,,,,10.0,,148.0,,329.0
Casio Exilim EX-Z70,,3072.0,2560.0,,38.0,114.0,40.0,,,,95.0,199.0
Casio Exilim EX-Z700,2006,3072.0,,,38.0,114.0,,15.0,,,,
Casio Exilim EX-Z75,2007,3072.0,2560.0,7.0,,,,10.0,8.0,156.0,,199.0
Casio Exilim EX-Z750,,,2304.0,,,114.0,40.0,10.0,9.0,165.0,89.0,329.0
Casio Exilim EX-Z77,2007,,,7.0,,114.0,40.0,,11.0,,,
Casio Exilim EX-S770,,,2560.0,,38.0,,,,,,95.0,
Casio Exilim EX-Z850,,3264.0,,8.0,38.0,114.0,,10.0,,,89.0,
Casio GV-10,,1280.0,640.0,1.0,35.0,,60.0,,,,101.0,249.0
Casio GV-20,2002,1600.0,800.0,,35.0,,,10.0,8.0,320.0,101.0,249.0
Casio QV-2000UX,,1600.0,,,36.0,108.0,50.0,20.0,,320.0,130.0,
Casio QV-2100,2001,1600.0,800.0,1.0,41.0,41.0,,,16.0,260.0,,
Casio QV-2300UX,2000,1600.0,800.0,1.0,,123.0,,,8.0,245.0,,
Casio QV-2400UX,,,800.0,,41.0,,,1.0,8.0,245.0,,
Casio QV-2800UX,,,,,,,,,,,81.0,249.0
Casio QV-2900UX,2001,1600.0,,,,,40.0,1.0,8.0,,,
Casio QV-3EX,2000,,,3.0,41.0,,50.0,,,245.0,,249.0
Casio QV-300,,,320.0,0.0,,,,,4.0,290.0,,
Casio QV-3000EX,2000,,1024.0,3.0,,,30.0,,16.0,360.0,134.0,249.0
Casio QV-3500EX,,2048.0,1024.0,3.0,,100.0,,,,,,
Casio QV-4000,2001,2240.0,1600.0,,34.0,102.0,30.0,,16.0,,,
Casio QV-5000SX,,,,1.0,35.0,35.0,30.0,10.0,,320.0,147.0,
Casio QV-5500SX,1999,1280.0,640.0,,,36.0,,10.0,8.0,,,
Casio QV-5700,2002,2560.0,1600.0,4.0,34.0,102.0,,,,420.0,118.0,249.0
Casio QV-700,,,0.0,,38.0,,70.0,14.0,,,147.0,
Casio QV-7000SX,1998,1280.0,,1.0,32.0,64.0,23.0,10.0,,320.0,141.0,249.0
Casio QV-770,,640.0,,,,,70.0,14.0,4.0,,129.0,
Casio QV-8000SX,1999,1280.0,,,,320.0,40.0,1.0,8.0,,141.0,
Casio QV-R3,,2048.0,,,,,,14.0,,240.0,,249.0
Casio QV-R4,,,,,38.0,,,,11.0,240.0,,249.0
Casio QV-R40,,,,4.0,,117.0,,10.0,,,,
Casio QV-R41,2004,,,,,117.0,,,,,,249.0
Casio QV-R51,,,2048.0,,,,,,9.0,,,
Casio QV-R61,2004,,2048.0,6.0,39.0,117.0,70.0,10.0,,218.0,,
Casio QV-R62,,,2048.0,6.0,,117.0,70.0,10.0,9.0,,,249.0
Contax N Digital,2000,3040.0,0.0,,0.0,,,,,0.0,152.0,
Contax TVS Digital,,2560.0,1600.0,4.0,,,60.0,,0.0,,112.0,549.0
Epson PhotoPC 800,,1600.0,,,,38.0,50.0,15.0,,,113.0,229.0
Epson PhotoPC 850 Zoom,,,640.0,1.0,35.0,,,0.0,0.0,,,
Epson PhotoPC L-500V,2004,,,4.0,34.0,,50.0,,16.0,200.0,92.0,159.0
Epson PhotoPC 3000 Zoom,,2048.0,,,34.0,102.0,50.0,5.0,16.0,,,399.0
Epson PhotoPC 3100 Zoom,2001,,,,34.0,,50.0,,,,107.0,399.0
Epson PhotoPC 500,1997,640.0,320.0,,43.0,43.0,60.0,20.0,2.0,,142.0,229.0
Epson PhotoPC 550,1997,640.0,320.0,,,,60.0,,,170.0,,229.0
Epson PhotoPC 600,1997,,640.0,,,36.0,50.0,,,,143.0,229.0
Epson PhotoPC 650,,,640.0,0.0,39.0,39.0,60.0,15.0,,,135.0,
Epson PhotoPC 700,,,640.0,1.0,,,,,4.0,0.0,,229.0
Epson PhotoPC 750 Zoom,1998,,,,,,80.0,,,0.0,,229.0
Epson PhotoPC L-300,,2048.0,,3.0,34.0,102.0,50.0,11.0,,,105.0,
Epson PhotoPC L-400,2003,2304.0,,,34.0,102.0,,11.0,,285.0,,129.0
Epson PhotoPC L-410,2004,2304.0,1600.0,,,102.0,,11.0,16.0,,,
Epson R-D1,,,2240.0,,,,,,,,142.0,
Fujifilm FinePix 40i,,,1280.0,,36.0,36.0,50.0,6.0,,,85.5,169.0
Fujifilm FinePix 50i,2001,2400.0,,2.0,,,50.0,,64.0,200.0,,169.0
Fujifilm DS-260HD,1999,,640.0,,35.0,105.0,,25.0,,700.0,100.0,169.0
Fujifilm DS-300,1997,,640.0,,35.0,,,,,,153.0,169.0
Fujifilm FinePix 1300,,1280.0,,,38.0,38.0,80.0,8.0,8.0,240.0,,169.0
Fujifilm FinePix 2300,2001,1600.0,1280.0,,,36.0,80.0,8.0,8.0,240.0,,
Fujifilm FinePix 2400 Zoom,,1600.0,1280.0,,,,80.0,10.0,8.0,,125.0,169.0
Fujifilm FinePix 2600 Zoom,2001,,,,38.0,,,,,260.0,99.0,
Fujifilm FinePix 2650,2002,1600.0,1280.0,,38.0,114.0,,,16.0,,,
Fujifilm FinePix 2800 Zoom,2001,1600.0,1280.0,,,,,,16.0,,,169.0
Fujifilm Finepix 30i,,,,1.0,,38.0,,,16.0,200.0,,199.0
Fujifilm FinePix 3800,,2048.0,1600.0,,38.0,,,,,400.0,,399.0
Fujifilm FinePix 4800 Zoom,,,,2.0,36.0,,60.0,,16.0,280.0,,
Fujifilm FinePix 4900 Zoom,,2400.0,1600.0,,35.0,,50.0,10.0,,450.0,110.0,169.0
Fujifilm FinePix 6800 Zoom,,2832.0,2048.0,3.0,36.0,,60.0,20.0,16.0,280.0,80.0,169.0
Fujifilm FinePix 6900 Zoom,2001,,2048.0,3.0,35.0,,50.0,10.0,,,,
Fujifilm FinePix A101,2001,1280.0,640.0,1.0,,36.0,,8.0,8.0,190.0,,169.0
Fujifilm FinePix A120,,,,,,38.0,80.0,,16.0,170.0,102.0,
Fujifilm FinePix A200,,1600.0,1280.0,1.0,36.0,,,,16.0,,,169.0
Fujifilm FinePix A201,,1600.0,1280.0,1.0,36.0,36.0,80.0,,16.0,,,
Fujifilm FinePix A203,2002,,,1.0,,114.0,60.0,10.0,16.0,,,169.0
Fujifilm FinePix A205 Zoom,,,1280.0,1.0,36.0,108.0,80.0,10.0,16.0,225.0,,
Fujifilm FinePix A210 Zoom,2003,2048.0,,3.0,36.0,108.0,80.0,10.0,,225.0,,169.0
Fujifilm FinePix A303,2002,,1600.0,,,114.0,60.0,,,180.0,,
Fujifilm FinePix A310 Zoom,2003,2816.0,,3.0,38.0,114.0,60.0,,16.0,190.0,97.0,169.0
Fujifilm FinePix A330,,,1600.0,3.0,38.0,,,,,160.0,,169.0
Fujifilm FinePix A340,,,,4.0,,,60.0,10.0,,160.0,104.0,169.0
Fujifilm FinePix A345 Zoom,2005,2304.0,2048.0,4.0,35.0,105.0,,6.0,,192.0,,169.0
Fujifilm FinePix A350 Zoom,2005,,,,35.0,105.0,60.0,,,192.0,90.0,
Fujifilm FinePix A400 Zoom,,,1600.0,,,,60.0,10.0,,170.0,,169.0
Fujifilm FinePix A500 Zoom,,2592.0,2048.0,,38.0,114.0,60.0,,,170.0,,169.0
Fujifilm FinePix A600 Zoom,,2848.0,,6.0,,,,,,,93.0,
Fujifilm FinePix A610,2007,,2048.0,6.0,39.0,117.0,60.0,,10.0,195.0,98.0,169.0
Fujifilm FinePix A800,,3296.0,2304.0,8.0,,,50.0,,10.0,,98.0,
Fujifilm FinePix A820,,,,8.0,39.0,,,,,205.0,,
Fujifilm FinePix A900,,,,,39.0,156.0,,,10.0,205.0,,169.0
Fujifilm FinePix A920,,3488.0,,9.0,39.0,156.0,60.0,,,206.0,98.0,169.0
Fujifilm FinePix E500 Zoom,2004,2304.0,,,28.0,91.0,,6.0,,226.0,,169.0
Fujifilm FinePix E510 Zoom,,2592.0,2048.0,,28.0,91.0,,2.0,,,101.0,169.0
Fujifilm FinePix E550 Zoom,,,2048.0,6.0,,130.0,60.0,,,260.0,,
Fujifilm FinePix E900 Zoom,2005,,,9.0,32.0,128.0,60.0,,,,102.0,169.0
Fujifilm FinePix F10 Zoom,2005,2848.0,2048.0,6.0,,108.0,,8.0,,,92.0,
Fujifilm FinePix F11 Zoom,2005,,2048.0,6.0,,,60.0,,,190.0,,
Fujifilm FinePix F20 Zoom,,2848.0,,6.0,,108.0,,,10.0,,94.0,
Fujifilm FinePix F30 Zoom,2006,2848.0,2048.0,,36.0,,,5.0,10.0,185.0,,169.0
Fujifilm FinePix F31 fd,2006,2848.0,2048.0,,,,60.0,,26.0,185.0,93.0,199.0
Fujifilm FinePix F401 Zoom,2002,2304.0,1600.0,2.0,,,,10.0,16.0,,85.0,
Fujifilm FinePix F402,,,,,,39.0,,6.0,,145.0,,
Fujifilm FinePix F40 fd,,3296.0,,,36.0,,45.0,7.0,25.0,181.0,96.0,199.0
Fujifilm FinePix F410 Zoom,,,,3.0,,,,,16.0,,85.0,
Fujifilm FinePix F420 Zoom,2003,2816.0,,,,108.0,60.0,,,,77.0,169.0
Fujifilm FinePix F440 Zoom,2004,2304.0,1600.0,3.0,38.0,,60.0,,,,75.0,
Fujifilm FinePix F450 Zoom,,,,,38.0,,60.0,,,180.0,75.0,199.0
Fujifilm FinePix F455 Zoom,,2592.0,2048.0,,38.0,130.0,60.0,9.0,16.0,,93.0,199.0
Fujifilm FinePix F470 Zoom,,2816.0,,,35.0,,,10.0,16.0,150.0,92.0,169.0
Fujifilm FinePix F480 Zoom,,,2304.0,,28.0,,40.0,5.0,,,96.0,
Fujifilm FinePix F50 fd,2007,,2848.0,12.0,,,45.0,,25.0,,,
Fujifilm FinePix F601Z,,2832.0,2048.0,3.0,,108.0,,20.0,,,72.0,169.0
Fujifilm FinePix F610,2003,4048.0,2848.0,,35.0,105.0,,,16.0,205.0,72.0,169.0
Fujifilm FinePix F650 Zoom,,2816.0,,6.0,,,60.0,,,,105.0,169.0
Fujifilm FinePix F700,,,2048.0,3.0,35.0,105.0,,9.0,,,108.0,169.0
Fujifilm FinePix F710,,,2048.0,3.0,32.0,130.0,,,16.0,225.0,110.0,
Fujifilm FinePix F810 Zoom,,4048.0,2848.0,6.0,32.0,,60.0,,16.0,250.0,110.0,
Fujifilm FinePix IS-1,2007,,,9.0,,,0.0,0.0,0.0,,,169.0
Fujifilm FinePix M603,,2832.0,2048.0,,,76.0,60.0,,16.0,,,169.0
Fujifilm FinePix S20 Pro,,2832.0,,6.0,35.0,,50.0,1.0,,,,1699.0
Fujifilm FinePix S3000 Z,2003,2048.0,1600.0,,38.0,228.0,80.0,10.0,16.0,400.0,,229.0
Fujifilm FinePix S3500 Zoom,2004,2272.0,1600.0,,,234.0,80.0,10.0,16.0,385.0,,
Fujifilm FinePix S5000 Z,2003,,2048.0,3.0,37.0,370.0,90.0,10.0,16.0,,113.0,229.0
Fujifilm FinePix S5100 Zoom,,2272.0,1600.0,,37.0,,90.0,,,,113.0,229.0
Fujifilm FinePix S5200 Zoom,2005,2592.0,,5.0,38.0,,90.0,,16.0,470.0,114.0,229.0
Fujifilm FinePix S5700 Zoom,,3072.0,2304.0,7.0,38.0,380.0,30.0,,,,106.0,
Fujifilm FinePix S6000 fd,2006,,2048.0,,,300.0,40.0,,,700.0,,399.0
Fujifilm FinePix S602Z,2002,2832.0,,3.0,35.0,,50.0,,16.0,590.0,121.0,399.0
Fujifilm FinePix S602Z Pro,2002,,2048.0,,,210.0,50.0,1.0,,590.0,121.0,1699.0
Fujifilm FinePix S7000 Z,,,,,,,50.0,,16.0,590.0,121.0,
Fujifilm FinePix S8000 fd,2007,,,,27.0,486.0,70.0,,,510.0,111.0,399.0
Fujifilm FinePix S9000 Z,2005,3488.0,,9.0,,,,,,745.0,,
Fujifilm FinePix S9100,2006,3488.0,,9.0,,300.0,,0.0,,,128.0,229.0
Fujifilm FinePix V10 Zoom,,,,5.0,,130.0,60.0,9.0,,,83.0,179.0
Fujifilm FinePix Z1,2005,,,,36.0,108.0,60.0,8.0,16.0,170.0,90.0,
Fujifilm FinePix Z10  fd,2007,3072.0,2304.0,,38.0,,60.0,8.0,54.0,,91.0,399.0
Fujifilm FinePix Z2,,,2048.0,5.0,36.0,108.0,60.0,8.0,,170.0,,179.0
Fujifilm FinePix Z3,,,2048.0,5.0,,108.0,,8.0,,170.0,,179.0
Fujifilm FinePix IS Pro,2007,4256.0,3024.0,6.0,,0.0,0.0,0.0,,920.0,147.0,1699.0
Fujifilm MX-1200,,,640.0,1.0,38.0,38.0,70.0,,,240.0,,169.0
Fujifilm MX-1400,2000,,,1.0,,114.0,,10.0,,390.0,74.0,
Fujifilm MX-1500,,,,1.0,38.0,,,,,250.0,,
Fujifilm MX-1700,1999,,,1.0,38.0,114.0,,20.0,8.0,,,169.0
Fujifilm MX-2700,,,1280.0,,35.0,,50.0,9.0,4.0,,80.0,
Fujifilm MX-2900 Zoom,1999,1800.0,1280.0,2.0,,105.0,90.0,25.0,8.0,385.0,,
Fujifilm FinePix 4700 Zoom,,2400.0,1280.0,,36.0,,,20.0,,280.0,78.0,169.0
Fujifilm MX-500,,1280.0,640.0,1.0,,,,,2.0,220.0,123.0,169.0
Fujifilm MX-600 Zoom,1999,,,1.0,38.0,115.0,90.0,,,,122.0,
Fujifilm MX-700,,1280.0,640.0,,35.0,35.0,50.0,9.0,,260.0,80.0,169.0
Fujifilm FinePix S1 Pro,2000,3040.0,2340.0,3.0,,0.0,0.0,0.0,,,148.0,1699.0
Fujifilm FinePix S2 Pro,,4256.0,3024.0,6.0,,0.0,0.0,0.0,0.0,,142.0,
Fujifilm FinePix S3 Pro,,4256.0,,6.0,,,0.0,0.0,,930.0,148.0,
Fujifilm FinePix S5 Pro,2006,4256.0,3024.0,,,0.0,,0.0,0.0,,147.0,1699.0
HP Photosmart 320,2002,,640.0,,,,,0.0,8.0,240.0,113.0,
HP Photosmart 435,2003,,,,,36.0,,85.0,,,,
HP Photosmart 620,2002,1632.0,,,36.0,102.0,,20.0,,280.0,,179.0
